Trial,Pump Rate,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,2.5,73.0,3.03,100,100,100,1,0,0,0
2,2.5,74.0,2.02,100,100,100,1,0,0,0
3,2.5,74.0,84.84,100,100,100,1,0,0,0
4,2.5,79.0,1.01,2.02,3.03,100,1,1,1,0
5,2.5,74.0,100,100,100,100,0,0,0,0
6,2.5,75.0,3.03,3.03,100,100,1,1,0,0
7,2.5,69.0,100,100,100,100,0,0,0,0
8,2.5,74.0,9.09,100,100,100,1,0,0,0
9,2.5,76.0,2.02,3.03,100,100,1,1,0,0
10,2.5,68.0,100,100,100,100,0,0,0,0
11,2.5,81.0,2.02,2.02,2.02,2.02,1,1,1,1
12,2.5,66.0,100,100,100,100,0,0,0,0
13,2.5,67.0,100,100,100,100,0,0,0,0
14,2.5,79.0,3.03,4.04,4.04,100,1,1,1,0
15,2.5,80.0,2.02,2.02,2.02,5.050000000000001,1,1,1,1
16,2.5,71.0,100,100,100,100,0,0,0,0
17,2.5,81.0,2.02,2.02,3.03,3.03,1,1,1,1
18,2.5,77.0,2.02,2.02,4.04,100,1,1,1,0
19,2.5,73.0,2.02,100,100,100,1,0,0,0
20,2.5,75.0,3.03,5.050000000000001,100,100,1,1,0,0
21,2.5,77.0,3.03,3.03,3.03,100,1,1,1,0
22,2.5,79.0,2.02,2.02,2.02,100,1,1,1,0
23,2.5,78.0,1.01,2.02,2.02,100,1,1,1,0
24,2.5,79.0,2.02,3.03,3.03,100,1,1,1,0
25,2.5,73.0,5.050000000000001,100,100,100,1,0,0,0
26,2.5,81.0,2.02,3.03,4.04,7.07,1,1,1,1
27,2.5,69.0,100,100,100,100,0,0,0,0
28,2.5,75.0,2.02,2.02,100,100,1,1,0,0
29,2.5,79.0,2.02,2.02,2.02,100,1,1,1,0
30,2.5,77.0,2.02,2.02,3.03,100,1,1,1,0
31,2.5,71.0,100,100,100,100,0,0,0,0
32,2.5,68.0,100,100,100,100,0,0,0,0
33,2.5,70.0,100,100,100,100,0,0,0,0
34,2.5,78.0,2.02,2.02,2.02,100,1,1,1,0
35,2.5,62.0,100,100,100,100,0,0,0,0
36,2.5,75.0,2.02,3.03,100,100,1,1,0,0
37,2.5,71.0,100,100,100,100,0,0,0,0
38,2.5,79.0,2.02,3.03,3.03,100,1,1,1,0
39,2.5,73.0,3.03,100,100,100,1,0,0,0
40,2.5,65.0,100,100,100,100,0,0,0,0
41,2.5,73.0,3.03,100,100,100,1,0,0,0
42,2.5,77.0,2.02,2.02,2.02,100,1,1,1,0
43,2.5,72.0,100,100,100,100,0,0,0,0
44,2.5,78.0,2.02,3.03,3.03,100,1,1,1,0
45,2.5,74.0,3.03,100,100,100,1,0,0,0
46,2.5,78.0,2.02,2.02,3.03,100,1,1,1,0
47,2.5,77.0,2.02,2.02,2.02,100,1,1,1,0
48,2.5,71.0,100,100,100,100,0,0,0,0
49,2.5,76.0,3.03,4.04,100,100,1,1,0,0
50,2.5,68.0,100,100,100,100,0,0,0,0
51,2.5,74.0,2.02,100,100,100,1,0,0,0
52,2.5,81.0,1.01,1.01,2.02,2.02,1,1,1,1
53,2.5,77.0,4.04,4.04,4.04,100,1,1,1,0
54,2.5,73.0,2.02,100,100,100,1,0,0,0
55,2.5,76.0,2.02,100,100,100,1,0,0,0
56,2.5,77.0,2.02,3.03,4.04,100,1,1,1,0
57,2.5,79.0,2.02,2.02,3.03,100,1,1,1,0
58,2.5,78.0,2.02,2.02,2.02,100,1,1,1,0
59,2.5,80.0,2.02,2.02,2.02,4.04,1,1,1,1
60,2.5,77.0,2.02,2.02,2.02,100,1,1,1,0
61,2.5,77.0,2.02,2.02,6.06,100,1,1,1,0
62,2.5,72.0,100,100,100,100,0,0,0,0
63,2.5,71.0,100,100,100,100,0,0,0,0
64,2.5,64.0,100,100,100,100,0,0,0,0
65,2.5,70.0,100,100,100,100,0,0,0,0
66,2.5,76.0,2.02,4.04,100,100,1,1,0,0
67,2.5,67.0,100,100,100,100,0,0,0,0
68,2.5,75.0,3.03,3.03,100,100,1,1,0,0
69,2.5,73.0,6.06,100,100,100,1,0,0,0
70,2.5,68.0,100,100,100,100,0,0,0,0
71,2.5,70.0,100,100,100,100,0,0,0,0
72,2.5,71.0,100,100,100,100,0,0,0,0
73,2.5,80.0,2.02,2.02,2.02,2.02,1,1,1,1
74,2.5,71.0,100,100,100,100,0,0,0,0
75,2.5,67.0,100,100,100,100,0,0,0,0
76,2.5,70.0,100,100,100,100,0,0,0,0
77,2.5,75.0,3.03,5.050000000000001,100,100,1,1,0,0
78,2.5,79.0,2.02,2.02,2.02,100,1,1,1,0
79,2.5,74.0,3.03,100,100,100,1,0,0,0
80,2.5,71.0,100,100,100,100,0,0,0,0
81,2.5,77.0,3.03,4.04,5.050000000000001,100,1,1,1,0
82,2.5,80.0,2.02,2.02,2.02,3.03,1,1,1,1
83,2.5,72.0,100,100,100,100,0,0,0,0
84,2.5,76.0,2.02,2.02,100,100,1,1,0,0
85,2.5,76.0,3.03,4.04,100,100,1,1,0,0
86,2.5,71.0,100,100,100,100,0,0,0,0
87,2.5,71.0,100,100,100,100,0,0,0,0
88,2.5,69.0,100,100,100,100,0,0,0,0
89,2.5,77.0,2.02,2.02,3.03,100,1,1,1,0
90,2.5,69.0,100,100,100,100,0,0,0,0
91,2.5,78.0,2.02,4.04,6.06,100,1,1,1,0
92,2.5,74.0,3.03,100,100,100,1,0,0,0
93,2.5,77.0,3.03,3.03,5.050000000000001,100,1,1,1,0
94,2.5,75.0,2.02,2.02,100,100,1,1,0,0
95,2.5,79.0,2.02,2.02,2.02,100,1,1,1,0
96,2.5,70.0,100,100,100,100,0,0,0,0
97,2.5,77.0,2.02,3.03,5.050000000000001,100,1,1,1,0
98,2.5,70.0,100,100,100,100,0,0,0,0
99,2.5,80.0,2.02,2.02,2.02,4.04,1,1,1,1
100,2.5,77.0,2.02,4.04,5.050000000000001,100,1,1,1,0
