Trial,Noise Level,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,0.0001,633.0,1.01,3.03,3.03,4.04,1,1,1,1
2,0.0001,588.0,1.01,1.01,100,100,1,1,0,0
3,0.0001,596.0,1.01,1.01,2.02,100,1,1,1,0
4,0.0001,548.0,100,100,100,100,0,0,0,0
5,0.0001,619.0,1.01,1.01,1.01,1.01,1,1,1,1
6,0.0001,541.0,100,100,100,100,0,0,0,0
7,0.0001,576.0,1.01,100,100,100,1,0,0,0
8,0.0001,621.0,1.01,1.01,1.01,2.02,1,1,1,1
9,0.0001,544.0,100,100,100,100,0,0,0,0
10,0.0001,610.0,1.01,1.01,2.02,100,1,1,1,0
11,0.0001,603.0,1.01,1.01,2.02,100,1,1,1,0
12,0.0001,621.0,1.01,1.01,1.01,4.04,1,1,1,1
13,0.0001,563.0,2.02,100,100,100,1,0,0,0
14,0.0001,584.0,2.02,3.03,100,100,1,1,0,0
15,0.0001,630.0,1.01,1.01,1.01,1.01,1,1,1,1
16,0.0001,536.0,100,100,100,100,0,0,0,0
17,0.0001,584.0,1.01,2.02,100,100,1,1,0,0
18,0.0001,590.0,1.01,2.02,100,100,1,1,0,0
19,0.0001,607.0,1.01,1.01,2.02,100,1,1,1,0
20,0.0001,571.0,1.01,100,100,100,1,0,0,0
21,0.0001,601.0,1.01,1.01,1.01,100,1,1,1,0
22,0.0001,642.0,1.01,2.02,2.02,2.02,1,1,1,1
23,0.0001,582.0,2.02,3.03,100,100,1,1,0,0
24,0.0001,544.0,100,100,100,100,0,0,0,0
25,0.0001,586.0,1.01,2.02,100,100,1,1,0,0
26,0.0001,581.0,5.050000000000001,8.08,100,100,1,1,0,0
27,0.0001,571.0,1.01,100,100,100,1,0,0,0
28,0.0001,556.0,100,100,100,100,0,0,0,0
29,0.0001,605.0,1.01,1.01,2.02,100,1,1,1,0
30,0.0001,598.0,1.01,1.01,1.01,100,1,1,1,0
31,0.0001,602.0,1.01,1.01,1.01,100,1,1,1,0
32,0.0001,575.0,2.02,100,100,100,1,0,0,0
33,0.0001,547.0,100,100,100,100,0,0,0,0
34,0.0001,527.0,100,100,100,100,0,0,0,0
35,0.0001,577.0,1.01,100,100,100,1,0,0,0
36,0.0001,586.0,1.01,3.03,100,100,1,1,0,0
37,0.0001,601.0,1.01,2.02,2.02,100,1,1,1,0
38,0.0001,593.0,1.01,1.01,1.01,100,1,1,1,0
39,0.0001,566.0,2.02,100,100,100,1,0,0,0
40,0.0001,573.0,2.02,100,100,100,1,0,0,0
41,0.0001,622.0,1.01,1.01,1.01,2.02,1,1,1,1
42,0.0001,593.0,1.01,1.01,1.01,100,1,1,1,0
43,0.0001,593.0,1.01,1.01,5.050000000000001,100,1,1,1,0
44,0.0001,611.0,1.01,1.01,1.01,100,1,1,1,0
45,0.0001,605.0,1.01,1.01,1.01,100,1,1,1,0
46,0.0001,599.0,1.01,2.02,2.02,100,1,1,1,0
47,0.0001,569.0,2.02,100,100,100,1,0,0,0
48,0.0001,577.0,2.02,100,100,100,1,0,0,0
49,0.0001,601.0,1.01,1.01,2.02,100,1,1,1,0
50,0.0001,623.0,1.01,1.01,2.02,2.02,1,1,1,1
51,0.0001,625.0,1.01,2.02,2.02,3.03,1,1,1,1
52,0.0001,569.0,1.01,100,100,100,1,0,0,0
53,0.0001,600.0,2.02,2.02,2.02,100,1,1,1,0
54,0.0001,560.0,3.03,100,100,100,1,0,0,0
55,0.0001,579.0,2.02,3.03,100,100,1,1,0,0
56,0.0001,600.0,1.01,1.01,1.01,100,1,1,1,0
57,0.0001,592.0,1.01,2.02,2.02,100,1,1,1,0
58,0.0001,545.0,100,100,100,100,0,0,0,0
59,0.0001,603.0,1.01,1.01,2.02,100,1,1,1,0
60,0.0001,568.0,3.03,100,100,100,1,0,0,0
61,0.0001,589.0,1.01,3.03,100,100,1,1,0,0
62,0.0001,576.0,3.03,100,100,100,1,0,0,0
63,0.0001,632.0,1.01,1.01,1.01,1.01,1,1,1,1
64,0.0001,610.0,1.01,2.02,2.02,100,1,1,1,0
65,0.0001,585.0,1.01,2.02,100,100,1,1,0,0
66,0.0001,593.0,1.01,1.01,1.01,100,1,1,1,0
67,0.0001,606.0,1.01,1.01,1.01,100,1,1,1,0
68,0.0001,584.0,1.01,3.03,100,100,1,1,0,0
69,0.0001,549.0,100,100,100,100,0,0,0,0
70,0.0001,587.0,1.01,2.02,100,100,1,1,0,0
71,0.0001,608.0,1.01,1.01,1.01,100,1,1,1,0
72,0.0001,571.0,1.01,100,100,100,1,0,0,0
73,0.0001,582.0,2.02,4.04,100,100,1,1,0,0
74,0.0001,623.0,1.01,1.01,1.01,2.02,1,1,1,1
75,0.0001,628.0,1.01,1.01,1.01,2.02,1,1,1,1
76,0.0001,577.0,2.02,100,100,100,1,0,0,0
77,0.0001,560.0,2.02,100,100,100,1,0,0,0
78,0.0001,572.0,2.02,100,100,100,1,0,0,0
79,0.0001,579.0,5.050000000000001,5.050000000000001,100,100,1,1,0,0
80,0.0001,606.0,1.01,1.01,1.01,100,1,1,1,0
81,0.0001,603.0,2.02,5.050000000000001,6.06,100,1,1,1,0
82,0.0001,571.0,2.02,100,100,100,1,0,0,0
83,0.0001,604.0,1.01,2.02,2.02,100,1,1,1,0
84,0.0001,595.0,1.01,1.01,1.01,100,1,1,1,0
85,0.0001,601.0,1.01,1.01,1.01,100,1,1,1,0
86,0.0001,610.0,1.01,1.01,1.01,100,1,1,1,0
87,0.0001,577.0,1.01,100,100,100,1,0,0,0
88,0.0001,608.0,1.01,1.01,1.01,100,1,1,1,0
89,0.0001,589.0,1.01,1.01,100,100,1,1,0,0
90,0.0001,584.0,1.01,1.01,100,100,1,1,0,0
91,0.0001,582.0,2.02,4.04,100,100,1,1,0,0
92,0.0001,594.0,1.01,2.02,2.02,100,1,1,1,0
93,0.0001,578.0,2.02,100,100,100,1,0,0,0
94,0.0001,596.0,1.01,2.02,7.07,100,1,1,1,0
95,0.0001,589.0,1.01,1.01,100,100,1,1,0,0
96,0.0001,628.0,1.01,1.01,2.02,3.03,1,1,1,1
97,0.0001,546.0,100,100,100,100,0,0,0,0
98,0.0001,574.0,2.02,100,100,100,1,0,0,0
99,0.0001,581.0,2.02,2.02,100,100,1,1,0,0
100,0.0001,595.0,1.01,3.03,3.03,100,1,1,1,0
